source,target,value,layer,wave,fragment
460,631,5,5,10,3
461,633,6,3,4,1
463,744,3,2,1,1
464,576,6,3,1,10
464,584,4,5,8,1
464,629,6,3,1,6
464,631,7,5,10,4
464,640,26,5,11,7
464,653,3,3,1,9
464,667,87,5,11,7
464,788,3,3,1,10
465,487,5,2,1,1
467,502,4,3,1,1
467,541,14,1,2,1
468,564,14,4,2,1
468,691,9,4,2,1
470,538,3,1,2,1
472,519,21,9,4,1
472,542,8,9,5,14
472,568,16,9,5,14
472,602,3,9,5,4
472,632,19,9,5,13
472,633,8,9,5,8
472,683,5,1,1,1
472,700,11,9,5,14
472,726,12,9,5,8
473,558,3,2,1,1
474,518,3,1,1,1
474,696,4,2,2,2
475,558,4,2,1,1
476,560,9,4,1,1
477,564,3,1,1,1
477,655,6,8,1,1
478,638,10,3,1,1
478,733,12,3,1,1
479,531,3,4,1,1
479,616,7,4,1,1
480,667,3,2,1,1
481,519,12,1,1,1
482,609,4,1,1,1
482,726,7,3,2,1
482,744,21,3,1,4
483,726,20,1,1,1
484,499,12,9,5,1
484,538,3,9,4,1
484,602,7,9,5,1
484,633,47,9,5,1
486,726,4,1,1,1
488,726,5,2,1,1
489,667,7,3,1,7
490,526,3,5,4,1
490,635,4,5,3,1
490,662,3,5,2,1
491,715,4,1,1,1
493,696,3,2,1,1
494,498,6,3,1,1
494,601,9,3,3,1
495,632,11,5,1,1
495,633,10,5,1,1
498,601,4,3,1,1
498,633,3,3,1,1
499,600,3,9,5,1
499,601,4,5,1,5
499,602,3,9,5,3
499,632,4,9,5,3
499,633,18,9,5,3
499,667,3,9,5,2
499,679,4,5,1,1
499,710,36,9,5,3
499,722,14,2,1,1
499,726,21,9,5,3
500,756,3,1,1,1
501,600,4,5,10,1
503,534,3,3,2,3
503,640,8,3,2,2
504,538,17,5,2,1
504,601,7,5,2,1
504,633,13,5,2,1
504,789,3,1,1,1
505,536,4,3,3,1
505,726,8,3,3,1
505,787,12,3,2,1
506,572,3,1,1,1
506,608,6,3,1,1
506,744,11,3,1,1
508,509,17,2,1,1
508,725,13,2,1,1
509,725,16,2,1,1
510,633,3,9,5,1
510,725,3,5,1,3
510,726,41,9,5,1
510,729,9,9,4,3
510,746,4,5,1,5
512,564,3,1,1,1
513,633,12,5,4,2
513,726,3,5,6,2
514,600,12,2,1,1
514,628,4,2,1,1
515,788,3,2,1,1
516,538,5,5,3,1
516,552,5,1,1,1
516,667,3,5,7,3
516,684,4,5,7,3
516,710,3,5,7,3
517,519,4,3,1,1
517,520,6,3,1,1
518,598,8,5,2,1
518,600,6,5,10,1
518,696,4,5,3,1
519,520,10,3,1,1
519,552,3,9,1,1
519,567,3,9,2,1
519,633,8,9,4,1
519,710,6,9,4,1
519,726,18,9,4,1
520,667,3,5,3,1
520,684,3,5,3,1
520,710,6,5,3,1
521,538,4,1,3,1
521,633,5,1,4,1
523,555,3,8,1,1
523,760,4,2,1,1
525,631,3,1,1,1
525,698,6,3,1,1
526,555,4,5,2,1
526,602,3,5,5,1
526,635,4,5,3,1
526,662,4,5,2,1
529,573,3,2,1,1
529,696,3,2,1,1
530,640,3,2,1,1
530,648,6,1,2,1
530,667,6,2,1,1
531,566,4,1,1,1
531,621,9,1,1,1
531,755,10,1,2,1
533,710,4,1,1,1
534,640,7,3,2,2
534,777,3,3,2,1
535,631,4,5,7,1
535,726,4,5,7,1
536,676,4,3,1,1
536,726,59,3,3,1
536,787,9,3,2,1
537,600,6,1,3,1
537,762,3,1,2,1
538,541,4,5,3,1
538,552,26,13,1,1
538,584,17,13,2,1
538,600,6,13,2,1
538,601,26,5,3,1
538,602,30,13,2,1
538,607,7,9,4,1
538,617,3,9,4,1
538,632,3,13,1,1
538,633,61,13,2,1
538,667,8,13,2,1
538,682,5,4,1,1
538,709,4,5,1,3
538,726,71,13,2,1
538,729,5,13,2,1
538,742,60,13,2,1
538,789,15,4,1,1
539,628,4,2,1,1
539,751,4,2,1,1
540,567,3,3,1,1
540,726,3,3,1,1
541,633,7,5,4,1
541,726,40,5,4,1
541,729,4,5,4,1
542,568,17,9,5,14
542,632,22,9,5,13
542,633,3,9,5,8
542,700,19,9,5,14
542,761,3,1,1,1
548,630,6,2,1,1
549,726,3,2,1,1
550,552,3,1,2,1
550,650,3,1,1,1
551,783,10,2,1,1
552,567,10,9,1,1
552,584,7,13,1,1
552,602,29,13,1,1
552,633,8,13,1,1
552,645,4,2,1,1
552,667,12,13,1,1
552,726,33,13,1,1
552,729,13,13,1,1
552,742,35,13,1,1
552,751,3,9,1,1
553,646,8,3,1,1
553,701,7,3,1,1
553,740,3,1,1,1
554,648,9,5,2,1
554,667,15,5,2,1
555,575,4,5,1,1
555,631,29,8,1,2
555,635,4,5,2,1
555,706,12,1,1,1
556,720,5,3,1,1
557,726,6,3,1,1
559,569,3,1,1,1
559,576,10,3,1,11
559,631,6,5,4,1
559,673,6,3,1,14
559,698,3,5,1,1
559,788,5,3,1,13
560,562,4,2,1,1
562,570,6,1,2,1
563,744,4,2,1,1
564,691,14,4,2,1
564,722,3,2,1,1
565,631,4,2,1,1
565,784,4,2,1,1
567,603,4,1,1,1
567,617,6,9,2,1
567,667,3,9,2,1
567,756,4,3,1,1
568,632,10,9,5,13
568,700,14,9,5,14
571,744,7,1,1,1
572,744,3,1,2,1
573,583,4,2,1,1
573,600,7,9,1,1
573,607,5,9,1,1
573,617,23,9,1,1
573,656,5,3,3,1
573,661,6,3,3,1
573,667,8,9,1,1
573,696,101,9,1,1
573,753,3,3,1,1
573,781,5,3,1,1
573,786,7,3,1,1
574,584,6,5,8,1
574,603,3,2,2,1
574,604,3,5,3,1
574,631,9,5,8,1
574,667,3,5,8,1
575,631,3,5,1,1
576,627,4,3,1,11
576,675,8,6,1,2
576,715,5,6,1,1
576,760,5,3,1,1
576,788,15,6,1,1
578,602,8,2,1,1
580,600,8,2,1,3
580,612,3,2,1,1
581,711,4,1,1,1
584,600,25,13,2,1
584,602,80,13,2,1
584,632,7,13,1,1
584,633,16,13,2,1
584,667,110,13,2,1
584,669,3,2,1,1
584,726,23,13,2,1
584,729,3,13,2,1
584,742,18,13,2,1
585,625,3,1,1,1
586,655,5,1,1,1
587,781,3,2,1,1
588,591,3,1,1,1
588,602,48,9,1,1
588,633,3,9,1,1
588,729,4,9,1,1
588,746,15,5,1,2
591,746,3,1,1,1
592,745,3,2,1,1
595,667,3,2,1,1
596,600,28,5,8,5
596,617,3,5,8,3
598,600,53,9,5,1
598,607,3,9,5,7
598,633,20,9,5,7
598,696,20,9,5,7
598,726,4,9,5,7
598,753,5,5,1,1
600,602,9,13,2,1
600,605,3,3,1,1
600,607,27,9,5,1
600,612,4,2,1,1
600,614,5,1,1,1
600,617,24,9,5,1
600,622,4,3,3,1
600,628,8,5,2,1
600,631,4,5,10,2
600,633,44,13,2,1
600,666,5,3,1,8
600,667,22,13,2,1
600,671,4,3,3,2
600,672,3,2,1,1
600,677,3,3,1,6
600,696,76,9,5,1
600,716,3,2,2,1
600,721,3,1,1,1
600,726,44,13,2,1
600,729,30,13,2,1
600,736,3,3,1,1
600,742,3,13,2,1
600,751,40,9,2,1
600,754,4,3,1,8
600,762,3,3,2,1
600,770,3,2,2,1
600,781,6,5,9,1
600,790,3,5,10,2
601,633,17,5,4,1
601,693,4,2,1,1
601,726,9,5,4,1
601,789,4,2,1,2
602,632,14,13,1,1
602,633,35,13,2,1
602,667,68,13,2,1
602,684,5,5,7,4
602,699,6,5,7,5
602,710,12,9,5,4
602,726,42,13,2,1
602,729,29,13,2,1
602,737,3,5,7,5
602,742,44,13,2,1
602,743,3,5,1,1
602,746,16,5,1,5
602,768,3,2,1,1
604,619,3,5,2,1
604,667,4,5,3,1
604,740,3,5,3,1
605,762,3,3,1,1
607,617,4,9,5,3
607,696,21,9,5,8
607,726,10,9,5,8
607,753,3,5,1,1
607,772,7,5,1,1
607,781,6,5,1,3
608,652,3,1,2,1
608,744,3,3,1,4
609,744,7,1,2,1
610,696,4,2,1,1
613,726,20,6,1,3
613,785,12,6,1,3
613,792,9,6,1,1
617,628,3,5,2,1
617,667,18,9,5,2
617,696,14,9,5,3
617,726,6,9,5,3
617,729,13,9,4,3
617,740,12,5,4,1
617,750,4,2,1,1
617,751,3,9,2,1
617,756,6,1,1,1
617,781,5,5,8,3
618,667,3,1,1,1
619,646,4,2,1,1
619,740,6,5,2,1
619,790,4,5,2,1
619,795,5,2,1,1
622,751,9,3,3,1
624,665,5,3,2,2
624,696,12,3,2,2
627,715,6,3,1,4
627,788,8,3,1,12
628,671,4,3,1,1
628,754,5,3,1,1
629,667,20,3,1,6
631,657,19,5,2,1
631,667,37,5,10,4
631,694,7,1,1,1
631,784,18,2,1,1
632,633,53,13,1,1
632,699,16,5,5,1
632,700,23,9,5,13
632,701,4,1,1,1
632,710,5,9,5,9
632,726,25,13,1,1
633,644,8,5,2,1
633,667,11,13,2,1
633,688,7,5,1,3
633,709,3,5,1,3
633,710,13,9,5,8
633,726,118,13,2,1
633,727,3,3,1,1
633,729,6,13,2,1
633,742,8,13,2,1
633,769,5,5,4,2
633,789,3,2,1,1
634,725,3,1,1,1
635,640,4,5,3,1
635,662,4,5,2,1
637,726,8,1,2,1
637,787,4,1,1,1
638,733,12,3,1,1
640,648,8,5,11,7
640,667,41,5,11,8
640,737,15,5,11,5
640,777,5,3,2,1
642,762,3,1,1,1
644,667,3,5,2,1
644,680,3,2,1,1
644,688,3,5,1,3
644,726,68,5,2,1
644,727,7,1,1,1
644,742,27,5,1,1
645,702,8,3,1,1
645,726,32,3,1,1
645,730,4,1,1,1
646,701,6,3,1,1
646,795,3,2,1,1
647,708,3,1,1,1
648,667,7,5,11,7
648,710,3,5,7,4
648,737,4,5,11,5
651,726,4,1,1,1
653,667,3,3,1,8
654,658,3,1,1,1
656,661,6,3,3,2
656,696,4,3,3,1
661,696,8,3,3,1
661,786,3,3,1,1
664,696,3,2,1,3
665,696,7,3,2,2
667,669,3,2,1,1
667,695,3,2,1,1
667,696,10,9,5,2
667,710,16,9,5,2
667,724,7,3,1,1
667,726,52,13,2,1
667,729,30,13,2,1
667,737,15,5,11,5
667,742,10,13,2,1
667,771,3,1,1,1
667,781,19,5,9,1
671,751,3,3,3,2
673,788,3,3,1,13
674,696,4,2,2,1
674,763,3,2,1,1
675,715,5,6,1,1
675,788,9,6,1,1
676,726,7,3,1,1
676,787,6,3,1,1
677,781,3,3,1,1
679,725,3,5,1,1
680,726,7,2,1,1
682,789,4,4,1,1
683,790,3,2,2,1
684,710,8,5,7,4
684,726,3,5,7,1
685,744,10,1,1,1
688,726,9,5,1,3
689,708,3,5,5,1
695,781,3,2,1,1
696,726,3,9,5,8
696,729,3,9,4,3
696,735,3,2,1,1
696,744,3,5,1,4
696,750,3,2,1,1
696,751,4,9,2,1
696,752,6,3,1,1
696,753,6,5,1,1
696,763,3,2,1,1
696,764,17,3,1,6
696,774,4,1,1,1
696,781,3,5,3,1
696,786,5,3,1,1
697,738,7,1,1,1
702,726,13,3,1,1
702,742,3,1,1,1
704,770,6,1,1,1
710,726,26,9,5,8
710,729,11,9,4,3
712,715,8,3,1,1
715,737,9,2,1,1
715,760,9,3,1,1
715,788,11,6,1,1
723,726,8,3,1,1
726,727,11,3,1,1
726,729,117,13,2,1
726,739,9,3,2,1
726,742,107,13,2,1
726,746,4,5,1,5
726,747,6,2,1,1
726,769,5,5,5,1
726,772,4,5,1,1
726,785,15,6,1,3
726,787,17,3,2,1
726,790,10,5,7,1
726,792,11,6,1,1
729,740,4,5,4,1
729,742,9,13,2,1
729,751,12,9,2,1
729,761,7,2,2,1
729,779,3,2,1,1
740,795,3,2,1,1
744,776,3,1,1,1
752,753,15,3,1,1
753,764,4,3,1,1
758,767,18,2,1,1
759,761,6,2,3,1
775,790,4,5,1,1
785,792,14,6,1,1
