source,target,value,layer,wave,fragment
95,126,12,5,8,1
95,141,8,2,1,2
95,168,21,3,1,1
95,177,7,5,5,1
95,191,3,5,5,2
95,195,4,3,1,1
95,200,6,5,8,1
95,203,8,3,1,1
95,237,6,5,8,1
95,324,17,5,4,3
95,325,8,2,1,1
95,336,111,13,1,1
95,347,4,1,1,1
95,354,4,13,1,1
95,411,6,13,1,1
95,426,3,5,4,2
95,467,17,3,1,1
95,502,6,3,1,1
95,541,36,5,4,1
95,553,4,3,1,1
95,567,3,3,1,4
95,574,8,5,8,1
95,584,37,13,1,1
95,599,3,3,1,1
95,600,5,13,1,1
95,602,3,13,1,1
95,617,11,5,8,1
95,632,12,13,1,1
95,633,24,13,1,1
95,639,4,1,1,1
95,646,9,3,1,4
95,667,5,13,1,1
95,701,5,3,1,1
95,710,3,5,7,4
95,726,7,13,1,1
95,729,3,13,1,1
95,740,4,5,4,1
95,748,3,2,1,1
95,756,3,3,1,1
95,773,5,2,1,1
96,110,6,9,5,1
96,115,23,9,5,1
96,120,8,1,1,1
96,213,3,3,1,4
96,258,4,9,5,1
96,330,7,9,1,1
96,354,12,9,5,1
96,408,7,5,1,1
96,440,8,9,1,1
96,444,4,5,1,1
96,510,4,9,5,1
96,541,20,5,1,1
96,607,4,9,5,1
96,644,3,5,1,1
96,645,3,3,1,1
96,667,3,9,5,1
96,702,5,3,1,1
96,710,7,9,5,1
96,726,137,9,5,1
96,729,7,9,4,3
96,739,11,3,1,4
96,742,12,9,2,2
96,772,5,5,1,1
97,437,6,3,1,1
97,503,4,3,1,1
97,640,5,3,1,1
99,138,3,1,1,1
99,196,3,1,2,1
99,270,5,2,1,1
99,584,7,2,1,2
99,667,3,2,1,3
100,460,3,2,1,1
101,110,29,9,4,1
101,159,3,2,1,1
101,191,24,9,4,1
101,193,3,1,1,1
101,204,7,5,1,1
101,313,5,5,1,1
101,336,29,9,4,1
101,422,4,2,1,1
101,426,10,9,4,1
101,504,3,5,1,1
101,596,4,5,1,1
101,600,27,9,4,1
101,628,3,5,1,1
101,696,6,9,4,1
101,726,4,9,4,1
101,729,10,9,4,1
101,751,7,9,2,1
102,738,5,1,1,1
103,513,4,1,4,1
103,633,6,1,5,1
104,140,3,1,1,1
105,244,3,4,1,1
105,417,3,1,1,1
105,468,7,4,1,1
105,564,7,4,1,1
105,691,4,4,1,1
106,178,11,3,1,1
106,258,4,1,1,1
106,509,5,3,1,1
107,663,3,1,1,1
108,696,4,1,1,1
109,696,3,1,1,1
110,115,30,13,2,1
110,126,9,5,8,1
110,133,3,3,3,4
110,134,6,2,1,1
110,146,5,3,1,1
110,166,9,3,1,4
110,176,3,1,1,1
110,189,88,13,2,1
110,191,42,9,4,2
110,200,5,5,8,1
110,207,3,3,1,1
110,282,16,5,1,1
110,313,27,5,5,4
110,324,3,5,4,3
110,336,59,13,2,1
110,344,5,3,1,1
110,349,13,3,3,1
110,354,11,13,2,1
110,357,11,9,5,3
110,360,14,9,5,3
110,361,14,5,8,1
110,411,6,13,1,3
110,414,3,5,5,3
110,419,14,9,5,3
110,426,55,9,5,1
110,431,6,3,2,1
110,442,4,9,5,1
110,444,6,5,4,1
110,449,3,5,5,1
110,455,5,1,1,1
110,456,3,5,7,1
110,485,3,1,1,1
110,494,9,3,3,1
110,496,3,1,1,1
110,504,3,5,2,1
110,538,31,13,2,1
110,574,6,5,8,1
110,580,5,2,1,2
110,584,55,13,2,1
110,596,12,5,8,1
110,598,6,9,5,3
110,599,7,3,1,1
110,600,128,13,2,1
110,601,3,5,4,1
110,602,27,13,2,1
110,606,3,2,1,1
110,607,28,9,5,3
110,617,10,9,5,3
110,622,7,3,3,1
110,628,6,5,2,1
110,633,32,13,2,1
110,666,3,3,1,8
110,667,24,13,2,1
110,671,5,3,3,3
110,689,8,5,5,1
110,696,14,9,5,3
110,726,69,13,2,1
110,728,4,3,1,4
110,729,21,13,2,1
110,736,3,3,1,1
110,739,5,3,2,1
110,742,10,13,2,1
110,748,13,2,1,1
110,751,38,9,2,1
110,762,10,3,2,1
110,772,5,5,1,1
111,189,7,2,1,1
111,584,3,2,1,1
111,709,6,1,1,1
112,227,5,2,1,1
113,541,3,1,1,1
114,130,3,1,1,1
114,360,3,2,1,3
114,523,8,2,2,1
115,121,3,9,5,13
115,126,6,5,7,1
115,148,3,9,1,1
115,178,3,9,2,1
115,179,18,3,2,2
115,185,16,9,5,13
115,189,91,13,2,1
115,197,4,5,1,10
115,199,4,5,1,8
115,213,14,3,1,6
115,229,3,5,1,1
115,233,3,1,1,1
115,258,21,13,1,2
115,272,24,9,3,1
115,295,4,5,7,1
115,301,3,2,2,2
115,302,35,5,2,1
115,327,34,9,5,13
115,330,4,9,1,1
115,336,130,13,2,1
115,337,3,3,1,1
115,338,13,9,3,1
115,353,13,3,2,1
115,354,173,13,2,1
115,357,7,9,5,3
115,360,7,9,5,11
115,368,5,9,5,9
115,381,24,9,4,1
115,393,38,9,2,1
115,411,24,13,1,3
115,426,9,9,5,1
115,428,26,9,5,1
115,432,3,5,1,1
115,435,5,2,1,1
115,440,4,9,1,1
115,442,79,9,5,1
115,446,3,1,1,1
115,462,5,2,2,1
115,472,46,9,5,13
115,478,4,3,1,1
115,481,5,2,1,1
115,484,3,9,5,1
115,499,19,9,5,3
115,510,9,9,5,1
115,513,11,5,6,2
115,516,9,5,7,1
115,517,15,3,1,1
115,519,37,9,4,1
115,520,30,5,3,1
115,538,27,13,2,1
115,542,9,9,5,13
115,549,3,2,1,1
115,552,34,13,1,1
115,567,30,9,2,1
115,568,16,9,5,13
115,581,3,1,2,1
115,584,12,13,2,1
115,588,8,9,1,1
115,600,15,13,2,1
115,602,134,13,2,1
115,603,4,2,2,1
115,632,19,13,1,1
115,633,95,13,2,1
115,638,5,3,1,1
115,641,9,2,1,1
115,644,9,5,2,1
115,667,42,13,2,1
115,684,46,5,7,1
115,687,4,3,2,4
115,688,3,5,1,3
115,700,11,9,5,13
115,710,111,9,5,9
115,726,209,13,2,1
115,729,57,13,2,1
115,733,13,3,1,1
115,742,53,13,2,1
115,743,4,5,1,1
115,747,3,2,1,1
115,751,5,9,2,1
115,769,5,5,5,1
116,726,10,1,1,1
117,474,4,2,1,1
118,644,4,2,1,1
118,726,8,2,1,1
118,742,4,1,1,1
119,345,6,5,3,1
119,360,9,5,3,1
119,395,9,5,1,1
119,559,3,5,3,1
119,631,10,5,3,1
119,657,8,5,2,1
120,726,5,1,2,1
120,772,3,1,1,1
121,185,3,9,5,14
121,258,4,9,5,3
121,327,3,9,5,14
121,354,3,9,5,13
121,472,3,9,5,14
121,542,4,9,5,14
121,568,7,9,5,14
121,632,3,9,5,13
121,700,5,9,5,14
121,761,6,1,1,1
123,249,5,2,1,1
123,667,6,2,1,3
124,336,3,2,1,1
124,375,4,2,1,1
125,148,13,2,1,3
125,245,5,2,1,1
125,564,3,2,1,2
126,189,3,5,8,1
126,336,32,5,8,1
126,600,11,5,8,1
126,726,13,5,7,1
127,148,3,4,1,1
127,244,5,4,1,1
127,377,3,1,1,1
127,564,7,4,1,1
128,175,3,3,1,1
128,607,4,3,1,1
129,140,6,2,1,1
129,631,3,2,1,1
130,304,6,5,5,1
130,360,30,5,5,1
130,490,4,5,4,1
130,631,9,5,5,1
130,667,3,5,5,1
131,148,7,4,1,1
131,183,9,4,1,1
131,275,7,4,1,1
131,560,6,4,1,1
132,246,3,2,1,1
132,306,4,1,1,1
132,460,3,2,1,2
133,260,5,3,4,1
133,430,5,3,4,1
133,538,6,3,1,1
133,601,7,3,4,1
133,739,4,3,2,1
134,584,3,2,1,1
135,136,5,1,1,1
135,645,9,2,1,1
135,726,6,2,1,1
137,667,3,1,1,1
138,160,5,5,2,1
138,584,3,5,2,1
138,667,18,5,2,1
138,726,3,5,2,1
138,742,3,5,1,1
139,163,18,8,1,1
139,190,3,8,1,1
139,360,14,8,1,1
139,523,6,8,1,1
139,555,3,8,1,1
139,631,10,8,1,1
139,640,3,2,1,1
139,667,5,2,1,1
140,171,6,2,1,1
140,187,7,5,6,1
140,190,6,5,5,1
140,246,24,5,8,1
140,259,3,5,6,1
140,345,30,5,7,1
140,355,3,5,8,1
140,360,36,5,8,1
140,439,10,5,8,1
140,631,48,5,8,1
140,698,4,5,1,1
140,715,3,2,1,1
141,325,15,2,1,1
141,643,4,2,1,1
142,160,14,5,9,1
142,464,7,5,9,1
142,530,8,1,1,1
142,554,17,5,2,1
142,584,4,5,8,1
142,602,4,5,7,5
142,640,3,5,9,1
142,648,6,5,9,1
142,667,21,5,9,1
143,264,4,1,1,1
143,274,4,1,1,1
144,237,3,1,2,1
144,389,4,1,1,1
144,690,3,1,1,1
145,148,65,8,1,5
145,183,3,8,1,1
145,261,6,8,1,1
145,266,4,3,1,6
145,298,7,3,1,1
145,303,14,8,1,4
145,329,10,8,1,5
145,350,5,8,1,5
145,351,9,8,1,3
145,366,10,8,1,4
145,477,4,8,1,1
145,548,3,2,1,1
145,564,5,3,1,4
145,570,4,8,1,1
145,630,3,2,1,1
145,655,9,8,1,4
146,431,3,3,1,1
146,600,3,3,1,1
147,178,3,2,1,1
147,510,3,2,1,1
148,150,3,2,1,1
148,178,3,9,1,1
148,180,18,3,3,2
148,183,123,8,1,1
148,189,5,9,1,1
148,208,8,1,1,1
148,212,3,1,1,1
148,223,19,4,1,1
148,244,15,4,2,1
148,245,8,2,1,1
148,261,25,8,1,1
148,266,10,3,1,7
148,275,12,4,1,3
148,298,5,3,1,1
148,303,96,8,1,4
148,326,36,5,1,3
148,329,73,8,1,5
148,350,65,8,1,5
148,351,39,8,1,3
148,358,6,5,1,3
148,366,161,8,1,4
148,387,16,2,1,1
148,424,3,1,1,1
148,427,3,1,1,1
148,428,3,9,1,1
148,450,3,2,1,1
148,468,6,4,2,1
148,469,5,3,1,1
148,473,4,2,1,1
148,475,3,2,1,1
148,476,34,4,1,1
148,477,63,8,1,1
148,482,3,3,2,1
148,528,4,1,2,1
148,536,4,3,3,3
148,543,4,3,3,1
148,551,14,2,1,1
148,557,5,3,1,1
148,558,6,2,1,3
148,560,18,4,1,3
148,561,11,1,1,1
148,562,5,2,1,4
148,564,58,4,2,1
148,570,22,8,1,1
148,586,19,4,1,1
148,588,27,9,1,1
148,589,5,1,1,1
148,602,26,9,1,1
148,655,33,8,1,4
148,663,3,3,3,3
148,681,4,2,1,1
148,691,4,4,2,1
148,726,17,9,1,1
148,742,8,9,1,1
148,744,7,5,1,3
148,746,55,5,1,3
148,783,29,2,1,2
148,793,4,1,1,1
149,648,3,1,1,1
151,607,3,5,1,1
151,696,7,5,1,1
152,188,4,3,1,1
152,360,4,3,1,1
152,559,5,3,1,1
153,246,10,5,10,5
153,360,6,5,11,1
153,439,15,5,11,1
153,464,3,5,11,1
153,667,5,5,11,1
153,737,12,5,11,1
154,267,3,3,1,1
154,573,7,3,3,1
154,656,7,3,3,2
154,661,4,3,3,2
154,696,5,3,3,1
156,311,3,2,2,1
156,340,3,2,2,1
156,751,3,2,1,1
157,246,7,5,1,1
157,360,6,5,1,1
157,394,4,1,1,1
157,631,26,5,1,1
158,189,3,2,1,1
