id,name,degree,peel,diversity,betweenness,pagerank,norm_peel,norm_diversity,norm_betweenness,norm_pagerank
48,Arya Stark,84,13,2.332991631921443,0.08724236063571161,0.018538944931775415,1.0,0.9459217700494547,0.454104379237348,0.5193888958262535
49,Arys Oakheart,9,6,1.5229550675313184,0.0017711832474196615,0.0011889446512890706,0.46153846153846156,0.6174888642864705,0.009219169027802121,0.03330958972606549
50,Asha Greyjoy,25,5,1.8095988818493756,0.033024754367602334,0.00564990575849631,0.38461538461538464,0.7337098658981016,0.17189683397250075,0.15828831275064165
51,Ashara Dayne,1,1,-0.0,0.0,0.00023108005476796197,0.07692307692307693,-0.0,0.0,0.006473961432815366
52,Aurane Waters,9,8,1.5229550675313184,7.82003949463733e-05,0.0005779190108185826,0.6153846153846154,0.6174888642864705,0.00040704012986900114,0.016191035574607448
53,Axell Florent,10,6,1.8343719702816235,0.0017033507365717296,0.0015244731868373081,0.46153846153846156,0.7437542241113044,0.008866094672566232,0.04270979001998317
54,Azor Ahai,1,1,-0.0,0.0,0.00025540527779974436,0.07692307692307693,-0.0,0.0,0.007155459262260338
55,Bael the Bard,1,1,-0.0,0.0,0.00025026263148799564,0.07692307692307693,-0.0,0.0,0.007011382379821035
56,Baelor Blacktyde,4,4,0.5623351446188083,0.0,0.0005428836841290903,0.3076923076923077,0.2280012701634715,0.0,0.015209482432768281
57,Baelor I Targaryen,3,3,-0.0,0.0,0.00031627097533897035,0.23076923076923078,-0.0,0.0,0.008860678602138156
58,Ballabar,3,2,1.0986122886681096,0.0025157232704402514,0.0006174240132510995,0.15384615384615385,0.44543720880779086,0.013094567200289547,0.017297811589561254
59,Balman Byrch,3,3,1.0986122886681096,0.0,0.0004661590146433709,0.23076923076923078,0.44543720880779086,0.0,0.013059956582539342
60,Balon Greyjoy,13,7,1.1189688668816267,0.009545731721719741,0.00295754820891619,0.5384615384615384,0.4536908734298201,0.04968639713863293,0.08285896010991518
61,Balon Swann,16,11,1.5419764327628247,0.003599004668479459,0.00119592393918589,0.8461538461538461,0.6252011609026933,0.018733144873010133,0.03350512213892516
62,Bannen,2,2,0.6931471805599453,0.0,0.00037382963746793364,0.15384615384615385,0.28103958838465737,0.0,0.010473247714264843
63,Barbrey Dustin,6,5,1.3296613488547582,0.00018273084362558124,0.0007874464682104897,0.38461538461538464,0.5391170716026767,0.0009511305712897579,0.022061177329737152
64,Barristan Selmy,41,12,2.1530819996690536,0.045549578315223826,0.006072067947541179,0.9230769230769231,0.8729766143701062,0.23708967564193612,0.17011564996074305
65,Barsena,1,1,-0.0,0.0,0.0002356215120202278,0.07692307692307693,-0.0,0.0,0.006601195343718978
66,Bartimus,1,1,-0.0,0.0,0.00024379299336605795,0.07692307692307693,-0.0,0.0,0.00683012836493968
67,Bedwyck,5,5,0.5004024235381879,0.0,0.0003971179290313894,0.38461538461538464,0.20289037463046417,0.0,0.011125694770196887
68,Belaquo,4,4,0.6931471805599453,1.2817396924231704e-05,0.0006033051280598323,0.3076923076923077,0.28103958838465737,6.67157104794618e-05,0.016902255520066654
69,Bellegere Otherys,1,1,-0.0,0.0,0.00022080862047978796,0.07692307692307693,-0.0,0.0,0.0061861959244156545
70,Belwas,13,8,1.4105135571148382,0.00028101228247100305,0.002070865857356331,0.6153846153846154,0.571898956845357,0.001462694351227011,0.05801758055891627
71,Ben Bones,2,2,0.6931471805599453,0.0,0.000325273606915729,0.15384615384615385,0.28103958838465737,0.0,0.009112897209582686
72,Ben Plumm,9,6,1.6769877743224173,0.0010765479186450406,0.0010360986247528465,0.46153846153846156,0.6799421061497277,0.005603529303349159,0.029027440485845647
73,Benedar Belmore,5,4,0.5004024235381879,0.00044016759918644334,0.0006418253594572794,0.3076923076923077,0.20289037463046417,0.0022911121722574567,0.01798144209331119
74,Benerro,4,4,1.3862943611198906,3.7070376925767436e-05,0.0004311983221823026,0.3076923076923077,0.5620791767693147,0.00019295466536332358,0.012080494400549003
75,Benethon Scales,2,2,0.6931471805599453,0.0,0.0003120329217536882,0.15384615384615385,0.28103958838465737,0.0,0.008741944878066331
76,Benfred Tallhart,4,3,1.0397207708399179,0.00036693321995462364,0.0005998105013088137,0.23076923076923078,0.421559382576986,0.001909920603418992,0.016804349714951206
77,Benjen Stark,14,9,1.59342423717389,0.0056754876301843725,0.0015970770219790908,0.6923076923076923,0.6460609006239164,0.029541426531724882,0.0447438661718794
78,Beric Dondarrion,18,10,1.351039415837016,0.00213977783534264,0.0020791807918691205,0.7692307692307693,0.547784903361438,0.01113773720178726,0.05825053257810389
79,Beth Cassel,3,3,-0.0,0.0,0.0003170365368603973,0.23076923076923078,-0.0,0.0,0.008882126648656678
80,Big Boil,2,2,0.6931471805599453,0.0,0.0002585421000909773,0.15384615384615385,0.28103958838465737,0.0,0.007243340782608035
81,Biter,5,5,1.0549201679861442,9.441361532432785e-05,0.0007828566984399659,0.38461538461538464,0.4277220453381901,0.0004914314086184625,0.021932589890593126
82,Black Balaq,1,1,-0.0,0.0,0.0003317970821563969,0.07692307692307693,-0.0,0.0,0.009295659530452041
83,Blane,1,1,-0.0,0.0,0.00022077099930830707,0.07692307692307693,-0.0,0.0,0.006185141925993033
84,Bloodbeard,4,4,1.3862943611198906,0.00011221585883172935,0.0003927203452065657,0.3076923076923077,0.5620791767693147,0.0005840936965030884,0.011002491631319024
85,Blue Bard,5,4,1.6094379124341005,0.0009082673787148315,0.0005348418426668785,0.3076923076923077,0.652553716045916,0.0047276138699988484,0.014984181415216366
86,Bonifer Hasty,1,1,-0.0,0.0,0.00023122068069284223,0.07692307692307693,-0.0,0.0,0.006477901222491473
87,Boros Blount,14,11,1.536722469437219,0.00022791307139828222,0.0015479035265881173,0.8461538461538461,0.6230709182474126,0.0011863081541265556,0.043366216711835985
88,Bowen Marsh,18,8,1.4280557692325653,0.0010658294425999037,0.002438314048834627,0.6153846153846154,0.5790115242930666,0.005547738665918207,0.06831204505771063
89,Bran Stark,54,12,2.1607243554595397,0.04491117872765171,0.016699569168749172,0.9230769230769231,0.8760752413080565,0.2337667480376463,0.4678567644086603
90,Brandon Norrey,2,1,0.6931471805599453,0.002515723270440252,0.0005979709922368998,0.07692307692307693,0.28103958838465737,0.01309456720028955,0.01675281384873877
91,Brandon Stark,8,6,1.2130075659799042,0.00046202512150183216,0.0008116005206924204,0.46153846153846156,0.49181927967315037,0.0024048825531867548,0.022737879628303065
92,Brea,3,2,0.6365141682948128,1.584208608589579e-06,0.0005471797856157255,0.15384615384615385,0.2580774832180193,8.245949118570244e-06,0.015329842432526225
93,Brella,2,2,0.6931471805599453,0.0,0.000300499669985253,0.15384615384615385,0.28103958838465737,0.0,0.008418828167631178
94,Brenett,1,1,-0.0,0.0,0.00021996172578079,0.07692307692307693,-0.0,0.0,0.0061624692396333005
