id,name,degree,peel,diversity,betweenness,pagerank,norm_peel,norm_diversity,norm_betweenness,norm_pagerank
60,Sigfus Sighvatson,9,7,1.0027182645175161,0.0022536665086176234,0.0010696361860083078,0.5833333333333334,0.4643746283057923,0.010744645276696845,0.029508724121735365
61,Hamund Gunnarsson,4,2,1.0397207708399179,0.014384980493666174,0.0015259485261794445,0.16666666666666666,0.4815110720386848,0.06858224680787088,0.04209729875635319
62,Gunnar Baugsson,1,1,-0.0,0.0,0.0005445296309816116,0.08333333333333333,-0.0,0.0,0.015022280348153755
63,Hrafnhild Storolfsdottir,2,1,0.6931471805599453,0.008161051172322345,0.0011333512522000118,0.08333333333333333,0.3210073813591232,0.03890886233445481,0.03126647160190008
64,Storolf Haengsson,3,1,-0.0,0.00545275551001547,0.002058659175064142,0.08333333333333333,-0.0,0.025996714026516578,0.05679352143493698
65,Orm Storolfsson the Strong,1,1,-0.0,0.0,0.0008072894336273721,0.08333333333333333,-0.0,0.0,0.02227119977326299
66,Kolskegg Hamundarson,15,5,1.8065071652616695,0.008652286409760164,0.00457192270409064,0.4166666666666667,0.8366219336832315,0.041250889583606634,0.1261284982180485
67,Hjort Hamundarson,4,4,0.6931471805599453,0.00017718283040052657,0.0008146691919601061,0.3333333333333333,0.3210073813591232,0.0008447419591563916,0.022474789793472005
68,Orm Skogarnef,1,1,-0.0,0.0,0.0003115296658192229,0.08333333333333333,-0.0,0.0,0.00859436421901723
69,Arngunn Hamundardottir,3,2,0.6365141682948128,0.010865328591806802,0.0011566745450379264,0.16666666666666666,0.2947797410028236,0.05180185315232191,0.03190990590504652
70,Hroar Unason the Godi of Tunga,3,2,0.6365141682948128,0.005448737267193056,0.0015172094422071579,0.16666666666666666,0.2947797410028236,0.025977556536445453,0.041856208167433184
71,Uni Gardarsson the Unborn,2,1,0.6931471805599453,0.002728386876418942,0.0013065974635086872,0.08333333333333333,0.3210073813591232,0.013007935758293851,0.03604592345806967
72,Gardar,1,1,-0.0,0.0,0.0007741813451911931,0.08333333333333333,-0.0,0.0,0.021357826178913
